,PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH.CITY,DEATHDATE,CEMETERY,CEME.CITY,CEME.STATE,CEME.COUNTRY,CEME.NOTE,BIRTH.NAME,NAME.CHG,BAT.CHG,HOF
213,alcocsc01,Alcock,John Forbes,Scotty,11/29/1885,Wooster,01/30/1973,Riverview Cemetery,East Liverpool,Ohio,USA,,,,,
214,alderda01,Alderson,Dale Leonard,Dale,03/09/1918,Belden,02/12/1982,Belden Cemetery,Belden,Nebraska,USA,,,,,
219,aldrivi01,Aldridge,Victor,Vic,10/25/1893,Crane,04/17/1973,Trinity Springs Cemetery,Trinity Springs,Indiana,USA,,,,,
220,alenoch01,Aleno,Charles,Chuck,02/19/1917,St. Louis,02/10/2003,Oakdale Cemetery,Deland,Florida,USA,Cremated,,,,
222,alexabo01,Alexander,Robert Somerville,Bob,08/07/1922,Vancouver,04/07/1993,Cremated,,,,Ashes scattered,,,,
224,alexach01,Alexander,Samuel,Chuffie,03/15/1902,Bastrop,09/22/1989,Evergreen Cemetery,Austin,TX,USA,,,,,
226,alexada01,Alexander,David Dale,Dale,04/26/1903,Greeneville,03/02/1979,Shiloh Cemetery,Tusculum,Tennessee,USA,,,,,
229,alexape01,Alexander,Grover Cleveland,Pete,02/26/1887,Elba,11/04/1950,Elmwood Cemetery,St. Paul,Nebraska,USA,,,,,HOF
231,alexahu01,Alexander,Hugh,Hugh,07/10/1917,Buffalo,11/25/2000,Maple Grove Cemetery,Seminole,Oklahoma,USA,,,,,
236,alexani01,Alexander,William Henry,Nin,11/24/1858,Pana,12/22/1933,Mound Cemetery,Pana,Illinois,USA,,,,,
240,alexate01,Alexander,Theodore R.,Ted,09/15/1912,Spartanburg,03/06/1999,Brooklyn C.M.E. Church Cemetery,Chesnee,SC,USA,,,,,
242,alexawa01,Alexander,Walter Ernest,Walt,03/05/1891,Atlanta,12/29/1978,Grove Hill Memorial Park,Dallas,Texas,USA,,,,,
262,allenbo03,Allen,Robert Earl,Earl,07/02/1914,Smithville,10/30/2005,Meadowbrook Memorial Gardens,Suffolk,Virginia,USA,,,,,
263,allenbo01,Allen,Robert Gilman,Bob,07/10/1867,Marion,05/14/1943,Roselawn Memorial Park,Little Rock,Arkansas,USA,,,,,
264,allenbo02,Allen,Robert,Bob,10/13/1894,Muscoda,12/18/1975,Bronswood Cemetery,Oak Brook,Illinois,USA,,Alvah Charles Elliott,,,
266,allenbu01,Allen,Lamar,Buddy,11/25/1914,Wilmot,05/16/1989,Rose Hills Memorial Park,Whittier,CA,USA,,,,,
273,allenet01,Allen,Ethan Nathan,Ethan,01/01/1904,Cincinnati,09/15/1993,Cremated,,,,,,,,
274,allenfr01,Allen,Frank Leon,Frank,08/26/1888,Newbern,07/30/1933,Newbern Cemetery,Newbern,Alabama,USA,,,,,
278,allenho01,Allen,Horace Tanner,Horace,06/11/1899,Deland,07/05/1981,Oakdale Cemetery,Deland,Florida,USA,,,,,
279,allenha01,Allen,Frank Erwin,Ham,04/20/1846,Augusta,02/06/1881,Dell Park Cemetery,Natick,Massachusetts,USA,,,,,
280,allenhe01,Allen,Hezekiah,Hezekiah,02/25/1863,Westport,09/21/1916,Willowbrook Cemetery,Westport,Connecticut,USA,,,,,
283,allenho02,Allen,Hosea Walter,Hosea,10/23/1918,Jacksonville,09/26/1948,Memorial Park Cemetery,Tampa,FL,USA,,,,,
287,allenjo02,Allen,John Thomas,Johnny,09/30/1904,Lenoir,03/29/1959,Memorial Park Cemetery,St. Petersburg,Florida,USA,,,,,
288,allenja01,Allen,Cyrus Alban,Jack,10/02/1855,Woodstock,04/21/1915,Erie Cemetery,Erie,Pennsylvania,USA,,,,,
289,allenjo01,Allen,John Marshall,John,10/27/1890,Berkeley Springs,09/24/1967,Rose Hill Cemetery,Hagerstown,Maryland,USA,,,,,
291,allenlu01,Allen,Lucas Gale,Luke,08/04/1978,Covington,04/26/2022,Starrsville United Methodist Church Cemetery,Covington,Georgia,USA,,,,,
294,allenmy01,Allen,Myron Smith,Myron,03/22/1854,Kingston,03/08/1924,Rhinebeck Cemetery,Rhinebeck,New York,USA,,,,,
298,allenni01,Allen,Artemus Ward,Nick,09/14/1888,Norton,10/16/1939,Ninnescah Cemetery,Udall,Kansas,USA,,,,,
299,allenne02,Allen,Newton Henry,Newt,05/19/1901,Austin,06/09/1988,Union Baptist Cemetery,Cincinnati,OH,USA,,,,,
300,allenpe01,Allen,Jesse Hall,Pete,05/01/1868,Columbiana,04/15/1946,Media Cemetery,Media,Pennsylvania,USA,Cremated,,,,
303,allensl01,Allen,Fletcher Manson,Sled,08/23/1886,West Plains,10/16/1959,Lubbock City Cemetery,Lubbock,Texas,USA,,,,,
305,allento01,Allen,Toussaint A.,Toussaint,06/07/1896,Atlanta,03/03/1960,Beverly National Cemetery,Beverly,NJ,USA,,,,,
308,allisar01,Allison,Arthur Algernon,Art,01/29/1849,Philadelphia,02/25/1916,Rock Creek Cemetery,Washington,D.C.,USA,,,,,
309,allisan01,Allison,Andrew Kent,Andy,1848,New York,03/21/1897,Cypress Hills Cemetery,Brooklyn,New York,USA,Lot 285 - Section 17,,,,
312,allisbi01,Allison,William,Bill,07/16/1850,New York,01/25/1887,Cypress Hills Cemetery,Brooklyn,New York,USA,Lot 285 - Section 17,,,,
313,allisbo01,Allison,William Robert,Bob,07/11/1934,Raytown,04/09/1995,Rio Verde Memorial Gardens,Rio Verde,Arizona,USA,Cremated,,,,
316,allisdo01,Allison,Douglas L.,Doug,07/12/1846,Philadelphia,12/19/1916,Rock Creek Cemetery,Washington,D.C.,USA,,,,,
317,alliega01,Allie,Gair Roosevelt,Gair,10/28/1931,Statesville,10/04/2016,Fort Sam Houston National Cemetery,San Antonio,Texas,USA,Section 24 Site 51,,,,
318,allismi01,Allison,Milo Henry,Milo,10/16/1890,Elk Rapids,06/18/1957,Lakewood Forest Cemetery,Lakewood,Wisconsin,USA,,,,,
319,allisma01,Allison,Mack Pendleton,Mack,01/23/1887,Owensboro,03/13/1964,Mount Washington Cemetery,Independence,Missouri,USA,,,,,
326,almadme01,Almada,Baldomero Melo (Quiros),Mel,02/07/1913,Huatabampo,08/13/1988,Parroquia del Sagrado Corazon,Navojoa,Sonora,Mexico,Cremated and moved from Panteon Municipal de Navojoa,,,,
346,alouje01,Alou,Jesus Maria Rojas,Jesus,03/24/1942,Bajos de Haina,03/10/2023,Jardin Memorial,Santo Domingo,Distrito Nacional,Dominican Republic,,Jesus Maria Rojas (Alou),,,
348,alouma01,Alou,Mateo Rojas,Matty,12/22/1938,Bajos de Haina,11/03/2011,Jardin Memorial,Santo Domingo,Distrito Nacional,Dominican Republic,,Mateo Rojas (Alou),,,
349,alperwh01,Alpermann,Charles Augustus,Whitey,11/10/1879,Etna,12/25/1942,Allegheny County Memorial Park,Allison Park,Pennsylvania,USA,,,,,
354,alstoto01,Alston,Thomas Edison,Tom,01/31/1926,Greensboro,12/30/1993,New Goshen United Methodist Church Cemetery,Greensboro,North Carolina,USA,,,,,
355,alstowa01,Alston,Walter Emmons,Walter,12/01/1911,Venice,10/01/1984,Darrtown Cemetery,Darrtown,Ohio,USA,,,,,HOF
358,altener01,Alten,Ernest Matthias,Ernie,12/01/1894,Avon,09/09/1981,George C Yount Cemetery,Yountville,California,USA,,,,,
359,altenje01,Altenburg,Jesse Howard,Jesse,01/02/1893,Ashley,03/12/1973,North Star Cemetery,North Star,Michigan,USA,,,,,
361,altizda01,Altizer,David Tilden,Dave,11/06/1876,Pearl,05/14/1964,Crescent Heights Cemetery,Pleasant Hill,Illinois,USA,,,,,
364,altroni01,Altrock,Nicholas,Nick,09/15/1876,Cincinnati,01/20/1965,Vine Street Hill Cemetery,Cincinnati,Ohio,USA,,,,,
366,alusige01,Alusik,George Joseph,George,02/11/1935,Ashley,04/20/2018,St. Gertrude Cemetery,Colonia,New Jersey,,,,,,
380,alvaros01,Alvarez,Oswaldo (Gonzalez),Ossie,10/19/1933,Bolondron,03/08/2008,Cremated,,,,,,,,
381,alvaror01,Alvarez,Jesus Manuel Orlando (Monge),Orlando,02/28/1952,Rio Grande,03/31/2016,Cementerio Municipal de Rio Grande,Rio Grande,,Puerto Rico,,,,,
392,alvorbi01,Alvord,William Crawford,Billy,08/10/1863,St. Louis,04/07/1927,Royal Palm Cemetery,St. Petersburg,Florida,USA,,,,,
406,amesre01,Ames,Leon Kessling,Red,08/02/1882,Warren,10/08/1936,Oakwood Cemetery,Warren,Ohio,USA,,,,,
409,amoledo01,Amole,Morris F.,Doc,01/01/1874,Coatesville,03/09/1912,Fairview Cemetery,Coatesville,Pennsylvania,USA,,,,,
410,amorosa01,Amoros,Edmundo (Isasi),Sandy,01/30/1930,Matanzas,06/27/1992,Woodlawn Park North Cemetery & Mausoleum,Miami,Florida,USA,,,,,
412,anckewa01,Ancker,Walter,Walter,04/10/1893,New York,02/13/1954,George Washington Memorial Park,Paramus,New Jersey,USA,,,,,
414,anderan01,Anderson,Andy Holm,Andy,11/13/1922,Bremerton,07/18/1982,Evergreen-Washelli Cemetery,Seattle,Washington,USA,Evergreen Section 4 - Lot 616 - Grave 1,,,,
415,anderal01,Anderson,Alfred Walton,Alf,01/28/1914,Gainesville,06/23/1985,Crown Hill Cemetery,Albany,Georgia,USA,,,,,
425,anderbo01,Anderson,Robert Carl,Bob,09/29/1935,East Chicago,03/12/2015,Cremated,,,,,,,,
426,anderbi01,Anderson,William Edward,Bill,11/28/1895,Boston,03/13/1983,Forest Hill Cemetery,East Derry,New Hampshire,USA,,,,,
428,anderbu02,Anderson,Theodore Miles,Bubbles,11/04/1904,Denver,03/14/1943,Fairmount Cemetery,Denver,CO,USA,,,,,
439,anderda01,Anderson,David S.,Dave,10/10/1868,Chester,03/22/1897,Chester Rural Cemetery,Chester,Pennsylvania,USA,,,,,
440,anderfr01,Anderson,John Frederick,Fred,12/11/1885,Calahan,11/08/1957,Salem Cemetery,Winston-Salem,North Carolina,USA,,,,,
441,anderfe01,Anderson,Ferrell Jack,Ferrell,01/09/1918,Maple City,03/12/1978,Ozark Memorial Park Cemetery,Joplin,Missouri,USA,,,,,
444,andergo01,Anderson,Edward John,Goat,01/13/1880,Cleveland,03/15/1923,Atlantic Cemetery,Atlantic,Pennsylvania,USA,,,,,
445,anderge01,Anderson,George Jendrus,George,09/26/1889,Cleveland,05/28/1962,All Souls Cemetery,Chardon,Ohio,USA,Section 2 - Lot 779 - Grave 2,George Andrew Jendrus,,,
446,anderha02,Anderson,Harry Walter,Harry,09/10/1931,North East,06/11/1998,Wilmington & Brandywine Cemetery,Wilmington,Delaware,USA,,,,,
447,anderha01,Anderson,Harold,Hal,02/10/1904,St. Louis,05/01/1974,Calvary Cemetery,St. Louis,Missouri,USA,,,,,
454,anderjo01,Anderson,John Joseph,John,12/14/1873,Sarpsborg,07/23/1949,All Faiths Cemetery,Worcester,Massachusetts,USA,,,,,
469,anderri01,Anderson,Richard Lee,Rick,12/25/1953,Inglewood,06/23/1989,Cremated,,,,,,,,
470,anderre01,Anderson,Arnold Revola,Red,06/19/1912,Lawton,08/07/1972,Memorial Park Cemetery,Sioux City,Iowa,USA,Garden of Gethsemane - Lot 217 - Space 3,,,,
474,andersp01,Anderson,George Lee,Sparky,02/22/1934,Bridgewater,11/04/2010,Cremated,,,,Ashes retained by family,,,,HOF
481,anderva01,Anderson,Warner Samuel,Varney,06/18/1866,Geneva,11/05/1941,Willwood Burial Park,Rockford,Illinois,USA,,,,,
482,anderwi01,Anderson,Wingo Charlie,Wingo,08/13/1886,Lillian,12/19/1950,Crown Hill Cemetery,Dallas,Texas,USA,,,,,
483,anderwa01,Anderson,Walter Carl,Walter,09/25/1897,Grand Rapids,01/06/1990,Fairplains Cemetery,Grand Rapids,Michigan,USA,,,,,
485,andrubi01,Andrus,William Morgan,Bill,07/25/1907,Beaumont,03/12/1982,Chattanooga National Cemetery,Chattanooga,Tennessee,USA,,,,,
490,andreed01,Andrews,George Edward,Ed,04/05/1859,Painesville,08/12/1934,Woodlawn Cemetery,West Palm Beach,Florida,USA,,,,,
491,andreel01,Andrews,Elbert DeVore,Elbert,12/11/1901,Greenwood,11/25/1979,Edgewood Cemetery,Greenwood,South Carolina,USA,,,,,
492,andreer01,Andres,Ernest Henry,Ernie,01/11/1918,Jeffersonville,09/19/2008,Walnut Ridge Cemetery,Jeffersonville,Indiana,USA,Cremated,,,,
494,andrufr01,Andrus,Frederick Hotham,Fred,08/23/1850,Washington,11/10/1937,Oak Woods Cemetery,Chicago,Illinois,USA,Removed from Woodlawn Cemetery- Detroit in mid-1930s,,,,
495,andrehu01,Andrews,Hubert Carl,Hub,08/31/1922,Burbank,03/11/2012,Scroggins Mausoleum,Dodge City,Kansas,USA,Cremated - interred in Scroggins Mausoleum - Dodge City Kansas,,,,
496,andreiv01,Andrews,Ivy Paul,Ivy,05/06/1907,Dora,11/24/1970,Shanghi Cemetery,Quinton,Alabama,USA,,,,,
499,andrejo01,Andre,John Edward,John,01/03/1923,Brockton,11/25/1976,People's Cemetery,Chatham,Massachusetts,USA,,,,,
500,andreji01,Andrews,James Pratt,Jim,06/05/1865,Shelburne Falls,12/27/1907,Arms Cemetery,Shelburne Falls,Massachusetts,USA,,,,,
506,andrena01,Andrews,Nathan Hardy,Nate,09/30/1913,Pembroke,04/26/1991,Rowland Cemetery,Rowland,North Carolina,USA,,,,,
514,andruwi01,Andrus,William Wiman,Wyman,10/14/1858,Orono,06/17/1935,Custer County Cemetery,Miles City,Montana,USA,,,,,
515,andrewa01,Andrews,William Walter,Wally,09/18/1859,Philadelphia,01/20/1940,Memorial Park Cemetery,Indianapolis,Indiana,USA,,,,,
516,andujjo01,Andujar,Joaquin,Joaquin,12/21/1952,San Pedro de Macoris,09/08/2015,Cementerio Municipal,San Pedro de Macoris,Macoris,Dominican Republic,,,,,
522,angleto01,Angley,Thomas Samuel,Tom,10/02/1904,Baltimore,10/26/1952,Wichita Park Cemetery,Wichita,Kansas,USA,,,,,
525,ankenpa01,Ankenman,Frederick Norman,Pat,12/23/1912,Houston,01/13/1989,Memorial Oaks Cemetery,Houston,Texas,USA,Section 8 - Lot 7 - Grave 10,,,,
529,annisbi01,Annis,William Perley,Bill,05/24/1857,Stoneham,06/10/1923,Lindenwood Cemetery,Stoneham,Massachusetts,USA,Lot 321 - Grave 7,,,,
530,ansonca01,Anson,Adrian Constantine,Cap,04/17/1852,Marshalltown,04/14/1922,Oak Woods Cemetery,Chicago,Illinois,USA,Section E - Lot 4 - Grave 10,,,,HOF
533,antonbi01,Antonello,William James,Bill,05/19/1927,Brooklyn,03/04/1993,Fort Snelling National Cemetery,Minneapolis,Minnesota,USA,Section Y Grave 253,,,,
535,antonjo01,Antonelli,John Lawrence,John,07/15/1915,Memphis,04/18/1990,Calvary Cemetery,Memphis,Tennessee,USA,Section 6- Lot 149- Grave 4,,,,
536,antoljo01,Antolick,Joseph,Joe,04/11/1916,Hokendauqua,06/25/2002,Cremated,,,,,,,,
548,appleed01,Appleton,Edward Samuel,Ed,02/29/1892,Arlington,01/27/1932,Arlington Cemetery,Arlington,Texas,USA,,,,,
549,applefr01,Applegate,Frederick Romaine,Fred,05/09/1879,Williamsport,04/21/1968,Wildwood Cemetery,Williamsport,Pennsylvania,USA,,,,,
550,applilu01,Appling,Lucius Benjamin,Luke,04/02/1907,High Point,01/03/1991,Sawnee View Memorial Gardens,Cumming,Georgia,USA,Mausoleum - Chapel West - Crypt 140 - 3rd Level from Bottom,,,,HOF
551,applepe01,Appleton,Peter William,Pete,05/20/1904,Terryville,01/18/1974,St. Gertrude Cemetery,Colonia,New Jersey,USA,,Peter William Jablonowski,,,
552,applere01,Applegate,Willis,Red,11/04/1922,Newark,08/08/1965,Glendale Cemetery,Bloomfield,NJ,USA,,,,,
557,aragoan01,Aragon,Angel (Valdes),Angel,08/02/1890,Havana,01/24/1952,Cemetery of the Gate of Heaven,Hawthorne,New York,USA,Section 47- Plot 393- Grave 13,,,,
558,aragoja01,Aragon,Angel Valdes (Reyes),Jack,11/20/1915,Havana,04/04/1988,Serenity Gardens Memorial Park,Largo,Florida,USA,,,,,
